keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>le_code,LE Code,Kod LE,,Mã LE,,
string-->>enter_valid_le_code_password,Please enter valid LE Code and Password,Sila masukkan Kod LE sah dan Kata Laluan,,Vui lòng nhập Mã LE hợp lệ và Mật khẩu,,
string-->>enter_valid_le_code,Enter valid LE Code,Masukkan Kod LE sah,,Nhập Mã LE hợp lệ,,
string-->>password_capital,Password,kata laluan,,Mật khẩu,,
string-->>x_points_required,%1d Points,Poin %1h,ต้องใช้ %1d คะแนน,% 1d Điểm,需要 %1d 积分,需要 %1d 积分
string-->>saved_address,Saved Address,Alamat disimpan,ที่อยู่ที่บันทึกไว้,Địa chỉ đã lưu,已保存的地址,已保存的地址
string-->>add_new,+ Add New,Tambah baru,+ เพิ่มใหม่,,+ 添加新,+ 添加新
string-->>make_default,Make Default,Buat yang asal,ทำให้เป็นค่าเริ่มต้น,Đặt làm Mặc định,将默认值,将默认值
string-->>edit_small,Edit,sunting,แก้ไข,Chỉnh sửa,,
string-->>delete_small,Delete,Padam,ลบ,Xóa,,
string-->>edit_address,Edit Address,Sunting Alamat,แก้ไขที่อยู่,Chỉnh sửa Địa chỉ,编辑地址,编辑地址
string-->>add_new_address,Add New Address,Masuk Alamat Baru,เพิ่มที่อยู่ใหม่,Thêm Địa chỉ Mới,添加新地址,添加新地址
string-->>save_address,Save Address,Simpan Alamat,บันทึกที่อยู่,Lưu Địa chỉ,保存地址,保存地址
string-->>no_address_found_info,No address added.,tiada alamat ditambah.,ไม่มีการเพิ่มที่อยู่,Không có địa chỉ nào được thêm vào.,未添加地址。,未添加地址。
string-->>pls_select_address,Please select delivery address,Sila pilih alamat penghantaran,กรุณาเลือกที่อยู่จัดส่ง,Vui lòng chọn địa chỉ giao hàng,请选择送货地址,请选择送货地址
string-->>default_address,*Default Address,* Alamat Lalai,*ที่อยู่ ค่าเริ่มต้น,*Địa chỉ Mặc định,*默认地址,*默认地址
string-->>delete_address,Delete Address,Padam Alamat,ลบที่อยู่,Xóa Địa chỉ,删除地址,删除地址
string-->>delete_confirmation,Are you sure you want to delete the address?,Adakah anda pasti anda mahu memadam alamat?,คุณแน่ใจหรือว่าต้องการลบที่อยู่?,Bạn có chắc là mình muốn xóa địa chỉ không?,是否确实要删除地址？,是否确实要删除地址？
string-->>product_will_delivered,Your product will be delivered to,Produk anda akan dihantar ke,ผลิตภัณฑ์ของคุณจะถูกส่งไปยัง,Sản phẩm của bạn sẽ được chuyển đến,您的产品将交付给,您的产品将交付给
string-->>new_address_success,New address added successfully,Alamat baru berjaya diletakkan,เพิ่มที่อยู่ใหม่สำเร็จแล้ว,Đã thêm địa chỉ mới thành công,已成功添加新地址,已成功添加新地址
string-->>update_address_success,Updated your address successfully,Dikemas kini alamat anda berjaya,ที่อยู่ของคุณได้รับการปรับปรุงเรียบร้อยแล้ว,Đã cập nhật địa chỉ của bạn thành công,已成功更新地址,已成功更新地址
string-->>tap_here,Tap Here,klik Sini,Tap Here,Nhấn vào Đây,点击这里,点击这里
string-->>reset_password_btn,Reset Password,Menetapkan semula kata laluan,รีเซ็ตรหัสผ่าน,Đặt lại Mật khẩu,重设密码,重设密码
string-->>app_permission_activity,App needs Physical activity permission to track the steps.,App memerlukan kebenaran Aktiviti fizikal untuk mengesan langkah-langkah.,App needs Physical activity permission to track the steps.,Ứng dụng cần quyền [Hoạt động thể chất] để theo dõi các bước chân.,App needs Physical activity permission to track the steps.,App needs Physical activity permission to track the steps.
string-->>grant_activity_permission,Please grant Physical activity permission to track the steps,Sila memberi kebenaran Aktiviti fizikal untuk mengesan langkah-langkah,Please grant Physical activity permission to track the steps,Vui lòng cấp quyền [Hoạt động thể chất] để theo dõi các bước chân,Please grant Physical activity permission to track the steps,Please grant Physical activity permission to track the steps
string-->>rdo_btn_overall,Overall,keseluruhan,Overall,Tổng thể,整体,整体
string-->>rdo_btn_last_seven_days,Last 7 days,7 hari yang lalu,Last 7 days,7 ngày trước,过去 7 天,过去 7 天
string-->>rdo_btn_last_thirty_days,Last 30 days,30 hari yang lalu,Last 30 days,30 ngày trước,过去 30 天,过去 30 天
string-->>rdo_btn_last_ninety_days,Last 90 days,90 hari yang lalu,Last 90 days,90 ngày trước,过去 90 天,过去 90 天
string-->>received_non_cap,Received,Menerima,Received,Đã nhận,收到,收到
string-->>sent,Sent,menghantar,Sent,Đã gửi,已发送,已发送
string-->>all,All,Semua,ทั้งหมด,Tất cả,全部,全部
string-->>filter,FILTER,Tapis,FILTER,BỘ LỌC,筛选,筛选
string-->>filter_by_strengths,Filter by Strength,Pilih Kekuatan,กรองโดยจุดเด่น,Lọc theo Ưu điểm,按强度进行筛选,按强度进行筛选
string-->>underlied_see_all,<u>See All</u>,<u>Lihat Semua</u>,<u>See All</u>,<u>Nhìn thấy tất cả</u>,<u>查看全部</u>,<u>查看全部</u>
string-->>filter_by_orgainsation,Filter by organization,Pilih organisasi,กรองโดยองค์กร,Lọc theo tổ chức,按组织筛选,按组织筛选
string-->>filter_by_feed_type,Filter By Feed Type,Tapis Jenis Halaman,Filter By Feed Type,Lọc theo Loại Bảng tin,按动态消息类型筛选,按动态消息类型筛选
string-->>filter_by_feed_range,Filter By Feed Range,Tapis Halaman Range,Filter By Feed Range,Lọc theo Phạm vi Bảng tin,按动态消息范围过滤,按动态消息范围过滤
string-->>clear_all,Clear All,Kosongkan semua,Clear All,Xóa Tất cả,清除所有数据,清除所有数据
string-->>reset_all,Reset All,Reset Semua,Reset All,Cài đặt lại Tất cả,重置全部,重置全部
string-->>btn_apply,Apply,Memohon,นำไปใช้,Áp dụng,应用,应用
string-->>strengths,STRENGTHS,KEKUATAN,STRENGTHS,ƯU ĐIỂM,优势,优势
string-->>clear_selection_text,Are you sure you want to reset all  filter\nselections to default?,Adakah anda pasti anda mahu untuk menetapkan semula semua penapis \ nselections untuk lalai?,Are you sure you want to reset all  filter\nselections to default?,Bạn có chắc là mình muốn cài đặt lại tất cả các chọn lựa /n bộ lọc về chế độ mặc định không?,您确定要将所有过滤器选择重置为默认值吗？,您确定要将所有过滤器选择重置为默认值吗？
string-->>reset_selection,Reset Selection,Pemilihan Reset,Reset Selection,Cài đặt lại Lựa chọn,重置选择,重置选择
string-->>txt_candidate_details,(Enter candidate\'s details),(Masukkan calon \'s maklumat lanjut),(ป้อนรายละเอียดของผู้สมัคร),(Nhập chi tiết của ứng cử viên),(输入候选人的详细信息),(输入候选人的详细信息)
string-->>tutorial_not_available,Tutorial not available.,Tutorial tidak sedia,Tutorial not available.,Không có hướng dẫn khả dụng.,Tutorial not available.,Tutorial not available.
string-->>whats_on_your_mind,Whats on your mind?,Apa yang anda fikirkan ?,,Bạn đang nghĩ gì vậy?,,
string-->>enter_comment_here,Enter your comment here,Tulis komen anda,,Nhập bình luận của bạn ở đây,,
string-->>no_of_comments,%d comments,%d komen,,%d bình luận,,
string-->>no_of_claps,%d claps,%d tepukan,,%d vỗ tay,,
string-->>comments,Comments,Komen,,Bình luận,,
string-->>claps,Claps,Tepukan,,Vỗ tay,,
string-->>news_feed,News Feed,Paparan Siaran,,Nguồn cấp bảng tin,,
string-->>comment_cannot_be_empty,Comment cannot be empty!,Komen tidak boleh kosong!,,Bình luận không được để trống!,,
string-->>pls_select_one_option,Please select one option,Sila pilih salah satu pilihan,,Vui lòng chọn một lựa chọn,,
string-->>create_post,Create Post,Cipta Siaran,,Tạo Bài viết,,
string-->>create_poll,Create Poll,Cipta Undian,,Tạo Cuộc thăm dò ý kiến,,
string-->>poll_choice1_hint,Choice 1,pilihan 1,,Lựa chọn 1,,
string-->>ask_something,Ask Something,Tanya Sesuatu,,Hỏi Gì đó,,
string-->>poll_choice2_hint,Choice 2,pilihan 2,,Lựa chọn 2,,
string-->>poll_choice3_hint,Choice 3 (Optional),Pilihan 3 (Pilihan),,Lựa chọn 3 (Tùy chọn),,
string-->>poll_choice4_hint,Choice 4 (Optional),Pilihan 4 (Pilihan),,Lựa chọn 4 (Tùy chọn),,
string-->>poll_choice_count,25,25,,25,,
string-->>poll_description_empty,Poll description is empty.,Poll Huraian kosong.,,Nội dung mô tả về cuộc thăm dò đang để trống.,,
string-->>poll_choice_one_required,Choice 1 is required!,Pilihan 1 diperlukan!,,Lựa chọn 1 là bắt buộc!,,
string-->>poll_choice_two_required,Choice 2 is required!,Pilihan 2 diperlukan!,,Lựa chọn 2 là bắt buộc!,,
string-->>choice_char_length_warning,Choice characters should be less than 26,watak-watak Choice hendaklah tidak kurang daripada 26,,Ký tự lựa chọn phải nhỏ hơn 26,,
string-->>poll_active_for_days,Poll Active for (days) :,Poll aktif untuk (hari):,,Cuộc thăm dò ý kiến Hoạt động trong (ngày):,,
string-->>min_no_of_active_days_warning,Minimum poll active time is 1 day,Minimum suara masa aktif adalah 1 hari,,Thời gian hoạt động của cuộc thăm dò ý kiến tối thiểu là 1 ngày,,
string-->>poll_active_max_days_warning,Poll cannot be active for more than 30 days.,Suara tidak boleh aktif selama lebih daripada 30 hari.,,Thời gian hoạt động của cuộc thăm dò ý kiến không thể vượt quá 30 ngày.,,
string-->>poll_title,Title,tajuk,,Chức vụ,,
string-->>post_title_max_char,80,80,,80,,
string-->>post,Post,Siarkan,,Đăng,,
string-->>poll_title_max_char,200,200,,200,,
string-->>photos_small,Photos,Foto,,Ảnh,,
string-->>successful_posted,Successfully Posted!,Berjaya Disiarkan,,Đã đăng thành công!,,
string-->>post_title_char_length_warning,Length of the title should not exceed 80 characters.,Panjang tajuk tidak boleh melebihi 80 aksara.,,Độ dài của chức vụ không được vượt quá 80 ký tự.,,
string-->>poll_ask_something_char_length_warning,Length of this field should not exceed 200 characters.,Panjang medan ini tidak boleh melebihi 200 aksara.,,Chiều dài của trường này không được vượt quá 200 kí tự.,,
string-->>post_empty_warning,Cannot create empty post.,Tidak dapat membuat siaran kosong.,,Không thể tạo bài viết trống.,,
string-->>app_needs_external_to_access_media_files,App needs external storage permission to access the media files,App memerlukan kebenaran storan luaran untuk mengakses fail media,,Ứng dụng cần được cấp quyền bộ nhớ ngoài để truy cập các tệp truyền thông,,
string-->>external_storage_permission_required,Please provide the external storage permission to continue using this functionality.,Sila berikan kebenaran storan luaran untuk terus menggunakan fungsi ini.,,Vui lòng cấp quyền bộ nhớ ngoài để tiếp tục sử dụng chức năng này.,,
string-->>vote_percentage,%d%%,%d%%,,%d%%,,
string-->>successful_vote_on_poll,Your vote has been casted successfully.,Undi anda telah dibaringkan dengan jayanya.,,Phiếu bầu của bạn đã được bỏ thành công.,,
string-->>post_same_dept,Post to my department only,Hantar ke jabatan saya sahaja,,Chỉ đăng lên bộ phận của tôi,,
string-->>left,left,Biar,ชิ้นเท่านั้น,trái,,
string-->>poll_final_result,Final Result,Keputusan akhir,,Kết quả cuối cùng,,
string-->>cannot_select_more_images,Cannot select more than 10 images.,tidak boleh memilih lebih daripada 10 imej.,,Không thể chọn quá 10 hình ảnh.,,
string-->>successful_created_poll,Successfully created poll.,Berjaya membuat suara.,,Đã tạo cuộc thăm dò ý kiến thành công.,,
string-->>field_cannot_be_empty,This field cannot be empty.,Medan ini tidak boleh kosong.,,Trường này không thể để trống.,,
string-->>photo_saved_device,Photo saved to this device.,Foto disimpan ke peranti ini.,,Đã lưu ảnh vào thiết bị này.,,
string-->>edit_post,Edit Post,Sunting siaran,,Chỉnh sửa Bài viết,,
string-->>successful_edit_post,Successfully edited the post.,Berjaya diedit jawatan itu.,,Đã chỉnh bài viết thành công.,,
string-->>post_empty_edit_warning,Cannot save empty post.,Tidak dapat menyimpan jawatan kosong.,,Không thể lưu bài viết trống.,,
string-->>feed_deleted,Deleted successfully.,Berjaya dipadamkan.,,Đã xóa thành công.,,
string-->>no_comments_error,Be the first one to comment.,Jadi yang pertama untuk komen.,,Hãy là người đầu tiên bình luận.,,
string-->>comment,Comment,komen,,Bình luận,,
string-->>delete_feed,Delete Post,Padamkan Post,,Xóa Bài viết,,
string-->>feed_delete_confirmation,Are you sure you want to delete the post?,Adakah anda pasti anda mahu memadam pos?,,Bạn có chắn là mình muốn xóa bài đăng không?,,
string-->>poll_delete_confirmation,Are you sure you want to delete the poll?,Adakah anda pasti anda mahu memadam pengundian?,,Bạn có chắc là mình muốn xóa cuộc thăm dò ý kiến không?,,
string-->>delete_poll,Delete Poll,Padam Undi,,Xóa Cuộc thăm dò ý kiến,,
string-->>bridgestone_feed_info,Only S3 and S4 messages can be shared on this platform,Hanya S3 dan S4 mesej yang boleh dikongsi di platform ini,,Chỉ có thể chia sẻ tin nhắn S3 và S4 trên nền tảng này,,
string-->>network_connection_error,"Internet connection lost, please retry again","sambungan internet hilang, sila cuba lagi",,"Mất kết nối Internet, vui lòng thử lại",,
string-->>network_default_error,"Something wrong happened, please retry again","Sesuatu yang tidak kena berlaku, sila cuba semula lagi",,"Đã xảy ra lỗi, vui lòng thử lại",,
string-->>network_internal_error,"Our systems got an error, please retry again","Sistem kami mendapat ralat, sila cuba lagi",,"Hệ thống của chúng tôi đang bị lỗi, vui lòng thử lại",,
string-->>network_server_not_available,"Our services are under maintenance, please retry after some time","Perkhidmatan kami adalah di bawah penyelenggaraan, sila cuba semula selepas beberapa ketika",,"Dịch vụ của chúng tôi đang được bảo trì, vui lòng thử lại sau một thời gian",,
string-->>server_connection_error,"Not able to connect, please retry again","Tidak dapat menyambung, sila cuba lagi",,"Không thể kết nối, vui lòng thử lại",,
string-->>no_feeds_available,No feeds are available at the moment.,Tiada suapan yang ada pada masa ini.,,Không có bảng tin nào vào lúc này.,,
string-->>cannot_retrieve_crop_image,Cannot retrieve cropped image.,Tidak boleh mendapatkan semula imej yang dipangkas.,,Không thể khôi phục hình ảnh đã cắt.,,
string-->>error_fetch_gif,Error fetching the GIF,Ralat mengambil GIF,,Lỗi khi truy xuất GIF,,
string-->>media_attachment_disabled,Please remove GIF to attach media files,Sila keluarkan GIF untuk melampirkan fail media,,Vui lòng gỡ GIF để đính kèm các tệp truyền thông,,
string-->>remove_media_for_gif,Please remove media files to attach GIF,Sila alih keluar fail media untuk melampirkan GIF,,Vui lòng gỡ các tệp truyền thông để đính kèm GIF,,
string-->>reset,Reset,Reset,Reset,Khôi phục,Reset,Reset
string-->>label_crop_image,Crop Image,Potong imej,Crop Image,Cắt Hình ảnh,Crop Image,Crop Image
string-->>view_feed,View Feed,Lihat Feed,View Feed,Xem Bảng tin,View Feed,View Feed
string-->>not_found,Not found.,Tidak ditemui.,,Không tìm thấy.,,
string-->>feed_detail_not_found,The feed you are looking for does not exist as it may be deleted.,Berita anda cari tidak wujud kerana ia mungkin dipadamkan.,"Sorry, the feed does not exist.",Bảng tin bạn đang tìm kiếm không tồn tại vì nó có thể đã bị xóa.,"Sorry, the feed does not exist.","Sorry, the feed does not exist."
string-->>feed_not_found,Feed not found.,Berita tidak ditemui.,,Không tìm thấy bảng tin.,,
string-->>go_to_feeds,Go to Feeds list,Pergi ke senarai berita,,Đến danh sách Bảng tin,,
string-->>card_number,Card Number,Nombor kad,Card Number,Số thẻ,Card Number,Card Number
string-->>url,URL,URL,URL,Đường dẫn URL,URL,URL
string-->>app_permission_download_image,App needs external storage permission to save the downloaded images.,App memerlukan kebenaran storan luaran untuk menyimpan imej yang dimuat turun.,App needs external storage permission to save the downloaded images.,Ứng dụng cần được cấp quyền lưu trữ tại bộ nhớ ngoài để lưu các hình ảnh đã tải xuống.,App needs external storage permission to save the downloaded images.,App needs external storage permission to save the downloaded images.
string-->>valid_reason,Please enter the valid reason,Sila masukkan sebab yang sah,Please enter the valid reason,Vui lòng nhập lý do hợp lệ,Please enter the valid reason,Please enter the valid reason
string-->>feed_report_success,Reported,Dilaporkan,Reported,Đã báo cáo,Reported,Reported
string-->>report_abuse,Report Abuse,Laporkan Kesalahan,Report Abuse,Báo cáo Lạm dụng,Report Abuse,Report Abuse
string-->>feed_report_abuse_comment,Comments,Komen,Comments,Bình luận,Comments,Comments
string-->>type_concerns,Please type in your concerns,Sila taip masalah anda,Please type in your concerns,Vui lòng nhập vào mối quan tâm của bạn,Please type in your concerns,Please type in your concerns
string-->>feed_report_abuse_information,If you have any concerns regarding the feed please share below.,Jika anda mempunyai apa-apa kebimbangan mengenai berita memudahkan bahagian bawah.,If you have any concerns regarding the feed please share below.,"Nếu bạn có bất kỳ mối quan tâm nào liên quan đến nguồn cấp tin tức, vui lòng chia sẻ vào bên dưới.",If you have any concerns regarding the feed please share below.,If you have any concerns regarding the feed please share below.
string-->>menu_news_feed,Connect,Sambung,เชื่อมต่อ,Kết nối,Connect,Connect
string-->>select_gif,Select GIF,Pilih GIF,Select GIF,Chọn ảnh GIF,Select GIF,Select GIF
string-->>search_tenor,Search Tenor,carian Tenor,Search Tenor,Thời hạn tìm kiếm,Search Tenor,Search Tenor
string-->>gif,GIF,GIF,GIF,Ảnh GIF,GIF,GIF
string-->>appreciation_feeds_no_like,Like,Like,ชอบ,Thích,喜欢,喜欢
string-->>select_province,Select Province,Pilih Province,เลือกจังหวัด,Chọn Tỉnh,,
string-->>pls_select_province_error,Please Select Province,Sila Pilih wilayah,กรุณาเลือกจังหวัด,Vui lòng Chọn Tỉnh,,
string-->>province,Province,wilayah,จังหวัด,Tỉnh,,
string-->>pls_enter_pincode,Please Enter Pincode,Sila Masukkan Kod Pin,โปรดป้อนรหัสพิน,Vui lòng Nhập Mã pin,,
string-->>pls_set_province,Please set province in your saved address,Sila set wilayah di alamat anda yang disimpan,กรุณาตั้งจังหวัดในที่อยู่ที่คุณบันทึกไว้,Vui lòng cài đặt tỉnh vào địa chỉ đã lưu của bạn,,
string-->>_check_in,Check-In,Daftar masuk,Check-In,Đăng ký hiện diện,Check-In,Check-In
string-->>cannot_scan,Unable to Scan,Tidak dapat Imbasan,Unable to Scan,Không thể Quét,Unable to Scan,Unable to Scan
string-->>location_check_in,LOCATION CHECK IN,LOKASI CHECK IN,LOCATION CHECK IN,ĐĂNG KÝ VỊ TRÍ,LOCATION CHECK IN,LOCATION CHECK IN
string-->>select_prodcut_category,Select Product Category,Pilih Kategori Produk,เลือกหมวดหมู่สินค้า,Chọn Danh mục Sản phẩm,Select Product Category,Select Product Category
string-->>choose_product_category,Choose Product Category,Pilih Kategori Produk,Choose Product Category,Chọn Danh mục Sản phẩm,Choose Product Category,Choose Product Category
string-->>product_category,Product Category,kategori Produk,ประเภทสินค้า,Danh mục Sản phẩm,Product Category,Product Category
string-->>benefit_for,Benefit For,manfaat Untuk,Benefit For,Lợi ích Cho,Benefit For,Benefit For
string-->>available_credit_for,Available Credit for,Kredit tersedia untuk,Available Credit for,Tín dụng Khả dụng cho,Available Credit for,Available Credit for
string-->>maximum_annual_credit_for_selected_benefit_type,Maximum Annual Credit for Selected Benefit Type,Maksimum Kredit Tahunan bagi Dipilih Manfaat Jenis,Maximum Annual Credit for Selected Benefit Type,Tín dụng Hàng năm tối đa cho Loại Lợi ích đã Chọn,Maximum Annual Credit for Selected Benefit Type,Maximum Annual Credit for Selected Benefit Type
string-->>enter_name_of_vendor_brand_shop_name,Enter name of vendor/brand/shop name..,Masukkan nama nama vendor / jenama / kedai ..,Enter name of vendor/brand/shop name..,Nhập tên nhà cung cấp / thương hiệu / tên cửa hàng ..,Enter name of vendor/brand/shop name..,Enter name of vendor/brand/shop name..
string-->>enter_any_remarks_regarding_the_receipt_optional,Enter any remarks regarding the receipt. (Optional),Memasuki mana-mana kenyataan mengenai resit. (Pilihan),Enter any remarks regarding the receipt. (Optional),Nhập bất kỳ nhận xét nào liên quan đến biên nhận. (Tùy chọn),Enter any remarks regarding the receipt. (Optional),Enter any remarks regarding the receipt. (Optional)
string-->>select_benefit_for,Select Benefit For,Pilih Manfaat Untuk,Select Benefit For,Chọn Lợi ích Cho,Select Benefit For,Select Benefit For
string-->>select_dependent,Select Dependent,pilih Tanggungan,Select Dependent,Chọn Người phụ thuộc,Select Dependent,Select Dependent
string-->>select_benefit_type,Select Benefit Type,Pilih Manfaat Jenis,Select Benefit Type,Chọn Loại Lợi ích,Select Benefit Type,Select Benefit Type
string-->>pru_rewards,Flexi Benefits,Manfaat Flexi,Flexi Benefits,Flexi Benefits,Flexi Benefits,Flexi Benefits
string-->>add_led_document_title,Add additional invoice pages or product images here,Menambah halaman invois tambahan atau imej produk di sini,Add additional invoice pages or product images here,Thêm các trang hóa đơn bổ sung hoặc hình ảnh sản phẩm tại đây,Add additional invoice pages or product images here,Add additional invoice pages or product images here
string-->>add_documents,ADD DOCUMENTS,DOKUMEN MASUKKAN,ADD DOCUMENTS,THÊM CHỨNG TỪ,ADD DOCUMENTS,ADD DOCUMENTS
string-->>documents_list_title_receipt_detail,Supporting Documents,Dokumen sokongan,Supporting Documents,Chứng từ chứng minh,Supporting Documents,Supporting Documents
string-->>add_pru_document_title,Add Supporting Documents,Menambah Dokumen Sokongan,Add Supporting Documents,Thêm Chứng từ Chứng minh,Add Supporting Documents,Add Supporting Documents
string-->>no_items_added,No Items added,Tiada item ditambah,No Items added,Không có Hạng mục nào được thêm vào,No Items added,No Items added
string-->>add_item,ADD PRODUCT DETAILS,DETAILS MASUKKAN PRODUK,ADD PRODUCT DETAILS,THÊM CHI TIẾT SẢN PHẨM,ADD PRODUCT DETAILS,ADD PRODUCT DETAILS
string-->>added_items,Added Items,Item ditambah,Added Items,Hạng mục đã Thêm,Added Items,Added Items
string-->>notes_optional,Notes (Optional),Nota (Pilihan),Notes (Optional),Chú thích (Tùy chọn),Notes (Optional),Notes (Optional)
string-->>delete_item,Delete item,item padam,Delete item,Xóa hạng mục,Delete item,Delete item
string-->>are_you_sure_you_want_to_delete_this_item,Are you Sure you want to delete this item?,Adakah anda pasti anda mahu memadam item ini?,Are you Sure you want to delete this item?,Bạn có Chắc là mình muốn xóa hạng mục này không?,Are you Sure you want to delete this item?,Are you Sure you want to delete this item?
string-->>enter_any_remarks_regarding_the_receipt,Enter any remarks regarding the receipt,Memasuki mana-mana kenyataan mengenai resit,Enter any remarks regarding the receipt,Nhập bất kỳ nhận xét nào liên quan đến biên nhận,Enter any remarks regarding the receipt,Enter any remarks regarding the receipt
string-->>item_details,Item Details,item Details,Item Details,Chi tiết hạng mục,Item Details,Item Details
string-->>product_group,Product Group,Kumpulan produk,Product Group,Nhóm sản phẩm,Product Group,Product Group
string-->>amount_optional,Amount (optional),Jumlah (pilihan),Amount (optional),Số tiền (tùy chọn),Amount (optional),Amount (optional)
string-->>update,Update,Kemas kini,Update,Cập nhật,Update,Update
string-->>add_more,ADD MORE,MASUKKAN MORE,ADD MORE,BỔ SUNG THÊM,ADD MORE,ADD MORE
string-->>choose_product_group,Choose Product Group,Pilih Kumpulan produk,Choose Product Group,Chọn Nhóm Sản phẩm,Choose Product Group,Choose Product Group
string-->>ledvance_receipt_list_empty,Add product details,Tambah butiran produk,Add product details,Thêm ít nhất một hạng mục,Add product details,Add product details
string-->>secondary_points_balance,Secondary Points Balance,Mata menengah Baki,Secondary Points Balance,Số dư Điểm phụ,Secondary Points Balance,Secondary Points Balance
string-->>secondary_points,Secondary Points,Mata menengah,Secondary Points,Điểm phụ,Secondary Points,Secondary Points
string-->>secondary_points_description,"On sale of every Product; you will receive Primary Points and Secondary Points on the App. You can use the Primary Points to redeem rewards within the app; whereas, Secondary Points are those that get accumulated in your account to reward your customers when they make a sale. These accumulated Secondary Points will be added back to your Primary Points Wallet after 12 months from the date they were awarded in case your customers have not made a sale.","Pada jualan setiap produk; anda akan menerima Mata Rendah dan Menengah Mata di App. Anda boleh menggunakan Mata Utama untuk menebus ganjaran dalam aplikasi; sedangkan, Mata menengah adalah mereka yang dapat terkumpul dalam akaun anda untuk memberi ganjaran kepada pelanggan anda apabila mereka membuat jualan. Ini Mata Menengah terkumpul akan ditambah kembali ke Pusat Wallet Utama anda selepas 12 bulan dari tarikh ia diberikan dalam kes pelanggan anda tidak membuat jualan.","On sale of every Product; you will receive Primary Points and Secondary Points on the App. You can use the Primary Points to redeem rewards within the app; whereas, Secondary Points are those that get accumulated in your account to reward your customers when they make a sale. These accumulated Secondary Points will be added back to your Primary Points Wallet after 12 months from the date they were awarded in case your customers have not made a sale.","Giảm giá mọi Sản phẩm; bạn sẽ nhận được Điểm Chính và Điểm Phụ trên Ứng dụng. Bạn có thể sử dụng Điểm Chính để đổi phần thưởng trong ứng dụng; trong khi đó, Điểm Phụ là những điểm được tích lũy trong tài khoản của bạn để thưởng cho khách hàng của bạn khi họ bán được hàng. Các Điểm Phụ đã tích lũy này sẽ được cộng lại vào Ví Điểm Chính của bạn sau 12 tháng kể từ ngày được tặng trong trường hợp khách hàng của bạn không bán được hàng.","On sale of every Product; you will receive Primary Points and Secondary Points on the App. You can use the Primary Points to redeem rewards within the app; whereas, Secondary Points are those that get accumulated in your account to reward your customers when they make a sale. These accumulated Secondary Points will be added back to your Primary Points Wallet after 12 months from the date they were awarded in case your customers have not made a sale.","On sale of every Product; you will receive Primary Points and Secondary Points on the App. You can use the Primary Points to redeem rewards within the app; whereas, Secondary Points are those that get accumulated in your account to reward your customers when they make a sale. These accumulated Secondary Points will be added back to your Primary Points Wallet after 12 months from the date they were awarded in case your customers have not made a sale."
string-->>approver_remarks,Approver Remarks,Catatan Pelulus,Approver Remarks,Nhận xét của Người phê duyệt,Approver Remarks,Approver Remarks
string-->>receipt_on_boarding_help_message,Click on the receipts to get started,Klik pada resit untuk memulakan,Click on the receipts to get started,Nhấp vào biên nhận để bắt đầu,Click on the receipts to get started,Click on the receipts to get started
string-->>ledvance_receipt_uploaded_successfully,Your receipt has been uploaded successfully.,Resit anda telah berjaya dimuat naik.,Your receipt has been uploaded successfully.,Biên nhận của bạn đã được tải lên thành công.,Your receipt has been uploaded successfully.,Your receipt has been uploaded successfully.
string-->>dashboard_pop_up_message,View summary of your total points,Lihat ringkasan daripada jumlah mata anda,View summary of your total points,Xem tóm tắt tổng điểm của bạn,View summary of your total points,View summary of your total points
string-->>rewards_pop_up_message,Redeem your points for numerous rewards,Menebus mata anda untuk pelbagai ganjaran,Redeem your points for numerous rewards,Đổi điểm của bạn để nhận thật nhiều phần thưởng,Redeem your points for numerous rewards,Redeem your points for numerous rewards
string-->>receipts_pop_up_message,Upload your sales invoices,Memuat invois jualan anda,Upload your sales invoices,Tải lên hóa đơn bán hàng của bạn,Upload your sales invoices,Upload your sales invoices
string-->>history_pop_up_message,Keep track of your points history,Menjejaki sejarah mata anda,Keep track of your points history,Theo dõi lịch sử điểm của bạn,Keep track of your points history,Keep track of your points history
string-->>appreciate_pop_up_message,Appreciate your colleague,Menghargai rakan sekerja anda,,Đánh giá cao đồng nghiệp của bạn,,
string-->>add_receipts,Add Receipts,Penerimaan add,Add Receipts,Thêm Biên nhận,Add Receipts,Add Receipts
string-->>quantitiy_title,Qty : %1$d,Qty:%1$d,Qty : %1$d,Số lượng: %1$d,Qty : %1$d,Qty : %1$d
string-->>total_qty,Total Qty :,,,,,
string-->>uploading_ledvance_receipt,Please wait while your receipt is being submitted,Sila tunggu sementara resit anda sedang dikemukakan,Please wait while your receipt is being submitted,Vui lòng đợi trong lúc biên nhận của bạn được gửi đi,Please wait while your receipt is being submitted,Please wait while your receipt is being submitted
string-->>info_requested,Info Requested,Maklumat yang diminta,Info Requested,,Info Requested,Info Requested
string-->>edit_receipt,EDIT RECEIPTS,SUNTING RESIT,EDIT RECEIPTS,,EDIT RECEIPTS,EDIT RECEIPTS
string-->>edit_image,Edit Image,Sunting Image,Edit Image,,Edit Image,Edit Image
string-->>re_submission,Re-Submission,Re-Penyerahan,Re-Submission,,Re-Submission,Re-Submission
string-->>remaining_monthly_appreciation_budget,Remaining monthly appreciation budget,Baki bajet penghargaan bulanan,Remaining monthly appreciation budget,Ngân sách đánh giá cao còn lại hàng tháng,Remaining monthly appreciation budget,Remaining monthly appreciation budget
