keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>btn_approve,APPROVE,يوافق,,,,,,
string-->>btn_reject,REJECT,رفض,,,,,,
string-->>reject_comment,Enter Comments for Rejection,أدخل التعليقات للرفض,,,,,,
string-->>reject_comment_idea,Comments for Rejection,تعليقات لرفض الرفض,,,,,,
string-->>hint_reject_comment,Enter comments,أدخل التعليقات,,,,,,
string-->>approve_dialog,You have successfully approved this nomination,لقد وافقت بنجاح على هذا الترشيح,,,,,,
string-->>select_functional_leader,Please Select Functional Leader,الرجاء تحديد القائد الوظيفي,,,,,,
string-->>upload_file,Upload File,رفع ملف,,,,,,
string-->>submit_dialog_confirm,Are you sure you want to submit the nomination under,هل أنت متأكد أنك تريد تقديم الترشيح تحت,,,,,,
string-->>team_member_confirm,Are you sure you want to nominate,هل أنت متأكد أنك تريد الترشيح,,,,,,
string-->>explain_idea,Current Status,الحالة الحالية,,,,,,
string-->>ends_on,Ends on %1$s,ينتهي في %1$s,,,,,,
string-->>enter_above_fields,Please enter the above field,الرجاء إدخال الحقل أعلاه,,,,,,
string-->>enter_comments,Please enter comments,الرجاء إدخال التعليقات,,,,,,
string-->>thumbs_up_screen_search,"Search by alphabet, name, email or department",البحث عن طريق الأبجدية، الاسم، البريد الإلكتروني أو القسم,,,,,,
string-->>screen_search_list_my_nomination,Search your nomination by name,ابحث في الترشيح الخاص بك بالاسم,,,,,,
string-->>screen_search_list_for_my_review,Search your team member\'s nomination by name,ابحث في ترشيح عضو الفريق الخاص بك بالاسم,,,,,,
string-->>feed_pin_it,Pin this post to top,تثبيت هذا المنشور في الأعلى,Selit post ini atas,Закрепить пост наверху,Pin this post to top,Ghim bài đăng này lên đầu,Pin this post to top,Pin this post to top
string-->>feed_unpin_it,Unpin the post,قم بإلغاء تثبيت المنشور,Keluar Pin Siaran Ini,Открепить пост,Unpin the post,Bỏ ghim bài đăng,Unpin the post,Unpin the post
string-->>feed_poll_unpin_it,Unpin the poll,قم بإلغاء تثبيت الاستطلاع,Keluar Pin Undian Ini,Открепить опрос,Unpin the poll,Bỏ ghim cuộc thăm dò,Unpin the poll,Unpin the poll
string-->>feed_poll_pin_it,Pin this poll to top,تثبيت هذا الاستطلاع في الأعلى,Pin Undian Ini Ke Atas,Закрепить опрос наверху,Pin this poll to top,Ghim cuộc thăm dò này lên đầu,Pin this poll to top,Pin this poll to top
string-->>no_chart_data,No chart data available.,لا توجد بيانات الرسم البياني المتاحة.,Data carta tidak tersedia,Данные графика недоступны,No chart data available.,Không có sẵn dữ liệu biểu đồ.,No chart data available.,No chart data available.
string-->>user_type,User Type,نوع المستخدم,User Type,Тип пользователя,User Type,User Type,User Type,User Type
string-->>category,Category,فئة,Category,Категория,Category,Category,Category,Category
string-->>challenge_id,Challenge ID,معرف التحدي,Challenge ID,Идентификатор челленджа,Challenge ID,Challenge ID,Challenge ID,Challenge ID
string-->>challenge_date,Challenge Date,تاريخ التحدي,Challenge Date,Дата челленджа,Challenge Date,Challenge Date,Challenge Date,Challenge Date
string-->>number,Number,عدد,Number,Номер,Number,Number,Number,Number
string-->>activity_date,Activity Date,تاريخ النشاط,Activity Date,Дата активности,Activity Date,Activity Date,Activity Date,Activity Date
string-->>customer_name,Customer Name,اسم الزبون,Customer Name,Имя клиента,Customer Name,Customer Name,Customer Name,Customer Name
string-->>solution_portfolio,Solution Portfolio,محفظة الحل,Solution Portfolio,Портфолио решений,Solution Portfolio,Solution Portfolio,Solution Portfolio,Solution Portfolio
string-->>proof_of_evidence,Proof of Evidence,إثبات الأدلة,Proof of Evidence,Доказательства,Proof of Evidence,Proof of Evidence,Proof of Evidence,Proof of Evidence
string-->>notes,Notes,ملحوظات,Notes,Примечания,หมายเหตุ,Notes,Notes,Notes
string-->>enter_any_remarks_regarding_the_trend_receipt,This is a free text section. Please highlight anything that needs reviewers attention,هذا قسم نص مجاني. يرجى تسليط الضوء على أي شيء يحتاج إلى انتباه المراجعين,This is a free text section. Please highlight anything that needs reviewers attention,"Это раздел для текста Выделите все, что требует внимания рецензентов.",This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention
string-->>claim_number,Claim Number,رقم المطالبة,Claim Number,Номер запроса,Claim Number,Claim Number,Claim Number,Claim Number
string-->>date_of_submission,Date of submission,تاريخ التقديم,Date of submission,Дата подачи,Date of submission,Date of submission,Date of submission,Date of submission
string-->>upload_claim,UPLOAD CLAIM,تحميل المطالبة,UPLOAD CLAIM,Загрузить запрос,UPLOAD CLAIM,UPLOAD CLAIM,UPLOAD CLAIM,UPLOAD CLAIM
string-->>add_claim,Add Claim,إضافة المطالبة,Add Claim,Добавить запрос,Add Claim,Add Claim,Add Claim,Add Claim
string-->>enter_number,Enter Number,أدخل رقم,Enter Number,Введите номер,Enter Number,Enter Number,Enter Number,Enter Number
string-->>dd_MMM_yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy
string-->>trend_solution_portfolio_item_one,Cloud One,سحابة واحدة,Cloud One,Cloud One,Cloud One,Cloud One,Cloud One,Cloud One
string-->>trend_solution_portfolio_item_two,Apex One,قمة واحدة,Apex One,Apex One,Apex One,Apex One,Apex One,Apex One
string-->>trend_solution_portfolio_item_three,Network One (ATP),شبكة واحدة (ATP),Network One (ATP),Сеть 1 (ATP),Network One (ATP),Network One (ATP),Network One (ATP),Network One (ATP)
string-->>trend_solution_portfolio_item_four,Network One (IPS),شبكة واحدة (IPS),Network One (IPS),Сеть 1 (IPS),Network One (IPS),Network One (IPS),Network One (IPS),Network One (IPS)
string-->>trend_challenge_id,#2345,#2345,#2345,#2345,#2345,#2345,#2345,#2345
string-->>trend_number_info,"Input number of Meetings Confirmed, eDemos, Testimonials etc.",أكد عدد الاجتماعات من الاجتماعات، EDEMOS، الشهادات، إلخ.,"Input number of Meetings Confirmed, eDemos, Testimonials etc.","Введите количество подтвержденных встреч, презентаций, отзывов клиентов и т. д.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc."
string-->>yyyy_MM_dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd
string-->>trend_receipt_on_boarding_help_message,Tap here to get started.,انقر هنا لتبدأ.,Tap here to get started.,"Нажмите здесь, чтобы начать.",Tap here to get started.,Tap here to get started.,Tap here to get started.,Tap here to get started.
string-->>tab_upload_claims,Claims,المطالبات,Claims,Запросы,Claims,Claims,Claims,Claims
string-->>edit_claim,EDIT CLAIM,تحرير المطالبة,EDIT CLAIM,РЕДАКТИРОВАТЬ ЗАПРОС,EDIT CLAIM,EDIT CLAIM,EDIT CLAIM,EDIT CLAIM
string-->>uploading_claim,Uploading Claim,تحميل المطالبة,Uploading Claim,Загрузка запроса...,Uploading Claim,Uploading Claim,Uploading Claim,Uploading Claim
string-->>loading_claims,Loading Claims....,تحميل المطالبات ....,Loading Claims....,Загрузка запросов...,Loading Claims....,Loading Claims....,Loading Claims....,Loading Claims....
string-->>claims,CLAIMS,المطالبات,CLAIMS,ЗАПРОСЫ,CLAIMS,CLAIMS,CLAIMS,CLAIMS
string-->>no_claims_processing,No claims are currently being processed,لا تتم معالجة أي مطالبات حاليا,No claims are currently being processed,В настоящее время запросы не обрабатываются,No claims are currently being processed,No claims are currently being processed,No claims are currently being processed,No claims are currently being processed
string-->>no_claims_uploaded,No Claims Found.,لم يتم العثور على مطالبات.,No Claims Found.,Запросы не найдены.,No Claims Found.,No Claims Found.,No Claims Found.,No Claims Found.
string-->>claim_upload_success,Your claim is successfully submitted,تم تقديم مطالبتك بنجاح,Your claim is successfully submitted,Ваш запрос успешно отправлен,Your claim is successfully submitted,Your claim is successfully submitted,Your claim is successfully submitted,Your claim is successfully submitted
string-->>claim_number_text,Your claim number is\u0020,رقم مطالبتك هو \ u0020,Your claim number is\u0020,Номер вашего запроса — \u0020,Your claim number is\u0020,Your claim number is\u0020,Your claim number is\u0020,Your claim number is\u0020
string-->>trend_setter_receipts_pop_up_message,Upload your claims,قم بتحميل مطالباتك,Upload your claims,Загрузите ваши запросы,Upload your claims,Upload your claims,Upload your claims,Upload your claims
string-->>github_token,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,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,,,,,,
string-->>quantity_total,Total Qty :,إجمالي الكمية :,,общее_количество,ปริมาณรวม :,,总数（量 :,总数（量 :
string-->>total_points_receipt,Total Points :,مجمل النقاط :,,количество_баллов_за_чек,จำนวนเงินทั้งหมด :,,總金額 :,总金额 :
string-->>quick_link_integration,Quick Links,روابط سريعة,Quick Links,интеграция_быстрых_ссылок,Quick Links,Quick Links,Quick Links,Quick Links
string-->>units_sold_value,Units - %1$s,الوحدات -%1$s,,количество_проданных_единиц,,,,
string-->>add_item_name,ADD ITEM,اضافة عنصر,Isi Butiran,добавить_название_элемента,เพิ่มรายการ,,添加项目,添加项目
string-->>supporting_docs_optional,(Optional) Supporting Documents,(اختياري) المستندات الداعمة,(Optional) Dokumen Sokongan,сопутствующие_документы_необязательно,(ถ้ามี) เอกสารเพิ่มเติม,,[可选] 证明文件,[可选] 证明文件
string-->>add_number_units,Add Number of Units,إضافة عدد الوحدات,Isi Bilangan unit,добавить_количество_элементов,ระบุจำนวนสินค้า,,添加单位数量,添加单位数量
string-->>add_receipt_amount,Add Receipt Amount,إضافة مبلغ الاستلام,Isi Jumlah resit,добавить_сумму_чека,ระบุมูลค่าสินค้า,,添加收据金额,添加收据金额
string-->>add_receipt_number,Add Receipt Number,,Isi Nombor Resit,добавить_номер_чека,เพิ่ม,,添加收据编号,添加收据编号
string-->>biometric_prompt_title,Biometric login for my app,تسجيل الدخول البيومتري لتطبيقي,Biometric login for my app,заголовок_биометрической_подсказки,Biometric login for my app,Biometric login for my app,Biometric login for my app,Biometric login for my app
string-->>biometric_prompt_sub_title,Log in using your biometric credential,تسجيل الدخول باستخدام بيانات الاعتماد البيومترية الخاصة بك,Log in using your biometric credential,подзаголовок_биометрической_подсказки,Log in using your biometric credential,Log in using your biometric credential,Log in using your biometric credential,Log in using your biometric credential
string-->>enable,Enable,ممكن,Enable,включить,Enable,Enable,Enable,Enable
string-->>biometric_prompt_enable_title_finger,SET TOUCH ID,تعيين معرف اللمس,SET TOUCH ID,включить_заголовок_подсказки_для_биометрического_входа_по_отпечатку,SET TOUCH ID,SET TOUCH ID,SET TOUCH ID,SET TOUCH ID
string-->>biometric_prompt_enable_sub_title_finger,Enable touch ID for easier access.,قم بتمكين معرف اللمس لتسهيل الوصول.,Enable touch ID for easier access.,включить_подзаголовок_подсказки_для_биометрического_входа_по_отпечатку,Enable touch ID for easier access.,Enable touch ID for easier access.,Enable touch ID for easier access.,Enable touch ID for easier access.
string-->>biometric_prompt_enable_title_face,SET FACE ID,ضبط معرف الوجه,SET FACE ID,включить_заголовок_подсказки_для_биометрического_входа_по_лицу,SET FACE ID,SET FACE ID,SET FACE ID,SET FACE ID
string-->>biometric_prompt_enable_sub_title_face,Enable face ID for easier access.,قم بتمكين معرف الوجه لتسهيل الوصول.,Enable face ID for easier access.,включить_подзаголовок_подсказки_для_биометрического_входа_по_лицу,Enable face ID for easier access.,Enable face ID for easier access.,Enable face ID for easier access.,Enable face ID for easier access.
string-->>login_with_email_id,Login with email Id,تسجيل الدخول باستخدام معرف البريد الإلكتروني,Login with email Id,войти_с_адресом_электронной_почты,Login with email Id,Login with email Id,Login with email Id,Login with email Id
string-->>biometric_prompt_auth_fail_cancel_title_finger,FINGERPRINT NOT MATCHING,البصمة غير متطابقة,FINGERPRINT NOT MATCHING,заголовок_подсказки_при_ошибке_авторизации_через_отпечаток_пальца,FINGERPRINT NOT MATCHING,FINGERPRINT NOT MATCHING,FINGERPRINT NOT MATCHING,FINGERPRINT NOT MATCHING
string-->>biometric_prompt_auth_fail_cancel_sub_title_finger,"We couldn\'t read your finger print, Please try again.",لم نتمكن من قراءة بصمة إصبعك ، يرجى المحاولة مرة أخرى.,"We couldn\'t read your finger print, Please try again.",подзаголовок_подсказки_при_ошибке_авторизации_через_отпечаток_пальца,"We couldn\'t read your finger print, Please try again.","We couldn\'t read your finger print, Please try again.","We couldn\'t read your finger print, Please try again.","We couldn\'t read your finger print, Please try again."
string-->>biometric_prompt_auth_fail_cancel_button_text_finger,LOGIN WITH TOUCHID,تسجيل الدخول باستخدام معرف اللمس,LOGIN WITH TOUCHID,текст_подсказки_при_ошибке_авторизации_через_отпечаток_пальца,LOGIN WITH TOUCHID,LOGIN WITH TOUCHID,LOGIN WITH TOUCHID,LOGIN WITH TOUCHID
string-->>biometric_prompt_auth_fail_cancel_title_face,FACEID NOT MATCHING,معرف الوجه غير متطابق,FACEID NOT MATCHING,заголовок_подсказки_при_ошибке_авторизации_через_faceid,FACEID NOT MATCHING,FACEID NOT MATCHING,FACEID NOT MATCHING,FACEID NOT MATCHING
string-->>biometric_prompt_auth_fail_cancel_sub_title_face,"We couldn\'t read your face id, Please try again.",لم نتمكن من قراءة معرف الوجه الخاص بك ، يرجى المحاولة مرة أخرى.,"We couldn\'t read your face id, Please try again.",подзаголовок_подсказки_при_ошибке_авторизации_через_faceid,"We couldn\'t read your face id, Please try again.","We couldn\'t read your face id, Please try again.","We couldn\'t read your face id, Please try again.","We couldn\'t read your face id, Please try again."
string-->>biometric_prompt_auth_fail_cancel_button_text_face,LOGIN WITH FACEID,تسجيل الدخول باستخدام معرف الوجه,LOGIN WITH FACEID,текст_подсказки_при_ошибке_авторизации_через_faceid,LOGIN WITH FACEID,LOGIN WITH FACEID,LOGIN WITH FACEID,LOGIN WITH FACEID
string-->>no_biometric_enrolled,You haven\'t associated any biometric credentials on the device.,لم تقم بربط أي بيانات اعتماد بيومترية على الجهاز.,You haven\'t associated any biometric credentials on the device.,биометрические_данные_не_зарегистрированы,You haven\'t associated any biometric credentials on the device.,You haven\'t associated any biometric credentials on the device.,You haven\'t associated any biometric credentials on the device.,You haven\'t associated any biometric credentials on the device.
string-->>biometric_enroll_finger,Please enroll finger-print,الرجاء تسجيل بصمة الإصبع,Please enroll finger-print,биометрическая_регистрация_отпечатка_пальца,Please enroll finger-print,Please enroll finger-print,Please enroll finger-print,Please enroll finger-print
string-->>biometric_enroll_face,Please enroll face-id,الرجاء تسجيل معرف الوجه,Please enroll face-id,биометрическая_регистрация_лица,Please enroll face-id,Please enroll face-id,Please enroll face-id,Please enroll face-id
string-->>biometric_finger_print,TOUCH ID,معرف اتصال,TOUCH ID,биометрический_отпечаток_пальца,TOUCH ID,TOUCH ID,TOUCH ID,TOUCH ID
string-->>biometric_face_id,FACE ID,معرف الوجه,FACE ID,биометрический_face_id,FACE ID,FACE ID,FACE ID,FACE ID
string-->>validate_user_type,Please choose user type,الرجاء اختيار نوع المستخدم,Please choose user type,проверить_тип_пользователя,Please choose user type,Please choose user type,Please choose user type,Please choose user type
string-->>validate_category,Please choose category,الرجاء اختيار الفئة,Please choose category,проверить_категорию,Please choose category,Please choose category,Please choose category,Please choose category
string-->>validate_challenge_id,Please fill challenge id,الرجاء ملء معرف التحدي,Please fill challenge id,проверить_идентификатор_челленджа,Please fill challenge id,Please fill challenge id,Please fill challenge id,Please fill challenge id
string-->>validate_challenge_date,Please choose challenge date,الرجاء اختيار تاريخ التحدي,Please choose challenge date,проверить_дату_челленджа,Please choose challenge date,Please choose challenge date,Please choose challenge date,Please choose challenge date
string-->>validate_number,Please enter number,الرجاء إدخال الرقم,Please enter number,проверить_номер,Please enter number,Please enter number,Please enter number,Please enter number
string-->>validate_activity_date,Please choose activity date,الرجاء اختيار تاريخ النشاط,Please choose activity date,проверить_дату_активности,Please choose activity date,Please choose activity date,Please choose activity date,Please choose activity date
string-->>validate_customer_name,Please choose customer name,الرجاء اختيار اسم العميل,Please choose customer name,проверить_имя_клиента,Please choose customer name,Please choose customer name,Please choose customer name,Please choose customer name
string-->>validate_solution_portfolio,Please choose solution portfolio,الرجاء اختيار مجموعة الحلول,Please choose solution portfolio,проверить_портфолио_решений,Please choose solution portfolio,Please choose solution portfolio,Please choose solution portfolio,Please choose solution portfolio
string-->>validate_attachment,Please add at least one attachment,الرجاء إضافة مرفق واحد على الأقل,Please add at least one attachment,проверить_вложение,Please add at least one attachment,Please add at least one attachment,Please add at least one attachment,Please add at least one attachment
string-->>validate_notes,Please enter notes,الرجاء إدخال الملاحظات,Please enter notes,проверить_примечания,Please enter notes,Please enter notes,Please enter notes,Please enter notes
string-->>arabic,Arabic,عربي,Arabic,арабский,Arabic,Arabic,Arabic,Arabic
string-->>mark_as_used,Mark as Used,Mark as Used,Mark as Used,,Mark as Used,Mark as Used,Mark as Used,Mark as Used
string-->>error_add_item_details,Add Item Details,,,ошибка_добавления_деталей_об_элементе,,,,
string-->>are_you_sure_that_you_want_to_mark_the_voucher_as_used,Are you sure that you want to \n mark the voucher as used?,Are you sure that you want to \n mark the voucher as used?,Are you sure that you want to \n mark the voucher as used?,,Are you sure that you want to \n mark the voucher as used?,Are you sure that you want to \n mark the voucher as used?,Are you sure that you want to \n mark the voucher as used?,Are you sure that you want to \n mark the voucher as used?
string-array-->>citizenship_array-->>0,Singapore Citizen,مواطن سنغافورة,Warganegara Singapura,Singapore Citizen,,Công dân Singapore,新加坡公民,新加坡公民
string-array-->>citizenship_array-->>1,Singapore Permanent Resident,مقيم دائم في سنغافورة,Residen Tetap Singapura,Singapore Permanent Resident,,Thường trú nhân Singapore,新加坡永久居民,新加坡永久居民
string-array-->>citizenship_array-->>2,Foreigner requiring work pass to work in Singapore,أجنبي يحتاج إلى تصريح عمل للعمل في سنغافورة,Warga asing yang memerlukan pas pekerja untuk bekerja di Singapura,Foreigner requiring work pass to work in Singapore,,Người nước ngoài yêu cầu giấy thông hành để làm việc tại Singapore,需要工作准证,需要工作准证
string-array-->>position_array-->>0,Principal,المالك,Pengetua,Основной,,Hiệu trưởng,校长,校长
string-array-->>position_array-->>1,Deputy Centre Lead,نائب رئيس المركز,Timbalan Pusat,Заместитель руководителя центра,,Phó trung tâm trưởng,副中心领导,副中心领导
string-array-->>position_array-->>2,English Teacher,معلم لغة انجليزية,Guru bahasa ingeris,Преподаватель английского,,Giáo viên Tiếng Anh,英语教师,英语教师
string-array-->>position_array-->>3,Chinese Teacher,مدرس صيني,Guru bahasa Cinar,Преподаватель китайского,,Giáo viên Tiếng Trung,汉语教师,汉语教师
string-array-->>position_array-->>4,Malay Teacher,مدرس الملايو,Guru bahasa Melayu,Преподаватель малайского,,Giáo viên Tiếng Malaysia,马来语教师,马来语教师
string-array-->>position_array-->>5,Tamil Teacher,مدرس التاميل,Guru bahasa Tamil,Преподаватель тамильского,,Giáo viên tiếng Tamil,泰米尔语教师,泰米尔语教师
string-array-->>position_array-->>6,Infant Care Teacher,مدرس رعاية الرضع,Guru Penjagaan Bayi,Воспитатель,,Giáo viên Chăm sóc Trẻ sơ sinh,婴儿护理教师,婴儿护理教师
string-array-->>position_array-->>7,Student Care Supervisor,مشرف رعاية الطلاب,Penyelia Penjagaan Pelajar,Ответственный по службе работы со студентами,,Giám sát viên Chăm sóc Học sinh,学生护理主管,学生护理主管
string-array-->>position_array-->>8,Student Care Teacher,مدرس رعاية الطلاب,Guru Penjagaan Pelajar,Преподаватель службы работы со студентами,,Giáo viên Chăm sóc Học sinh,学生护理教师,学生护理教师
string-array-->>position_array-->>9,Trainee Teacher,المعلم المتدرب,Guru Pelatih,Преподаватель-стажер,,Giáo viên thực tập,实习教师,实习教师
string-array-->>position_array-->>10,Trainee Infant Care Teacher,مدرس رعاية الرضع المتدرب,Guru Penjagaan Bayi Pelatih,Воспитатель-стажер,,Giáo viên Chăm sóc Trẻ sơ sinh thực tập,实习婴儿护理教师,实习婴儿护理教师
string-array-->>position_array-->>11,Assistant Teacher,مدرس مساعد,Penolong Guru,Помощник учителя,,Trợ lý giáo viên,助理教师,助理教师
string-array-->>position_array-->>12,Center Attendant (Cook),مسؤول مركز (كوك),Pusat Atendan (PeMasak),Сотрудник центра (повар),,Nhân viên trực tại Trung tâm (Thực dưỡng),中心服务员（厨师）,中心服务员（厨师）
string-array-->>position_array-->>13,Center Attendant (Cleaner),عامل في المركز (عامل نظافة),Pusat Atendan PemBersih),Сотрудник центра (уборщик),,Nhân viên trực tại Trung tâm (Vệ sinh),中心服务员（清洁工）,中心服务员（清洁工）
string-array-->>position_array-->>14,Others,آحرون,Lain lain,Другие,,Khác,别人,别人
string-array-->>highest_academic_qualification_array-->>0,Master Degree,درجة الماجستير,Ijazah Sarjana,Магистр,,Bằng thạc sĩ,硕士学位,硕士学位
string-array-->>highest_academic_qualification_array-->>1,Bachelor Degree,درجة البكلاريوس,Ijazah Sarjana Muda,Бакалавр,,Bằng cử nhân,本科,本科
string-array-->>highest_academic_qualification_array-->>2,Diploma,شهادة دبلوم,Diploma,Диплом,,Bằng cấp,文凭,文凭
string-array-->>highest_academic_qualification_array-->>3,NITEC,NITEC,NITEC,NITEC,,Chứng chỉ Giáo dục Kỹ thuật của Viện quốc gia (NITEC),NITEC,NITEC
string-array-->>highest_academic_qualification_array-->>4,GCE A Level,GCE A Level,GCE A Level,GCE A Level,,Chứng chỉ Giáo dục Phổ thông Bậc Cao (GCE A-level),GCE A 级别,GCE A 级别
string-array-->>highest_academic_qualification_array-->>5,GCE N/O Level,مستوى GCE N / O,GCE N/O Level,GCE N/O Level,,Bằng tốt nghiệp trung học cơ sở (GCE N/O Level),GCE N/O 级别,GCE N/O 级别
string-array-->>highest_academic_qualification_array-->>6,Secondary 2 and below,ثانوي 2 وما دون,Sekunder 2 dan ke bawah,Дополнительные баллы уровня 2 и ниже,,Cấp 2 trở xuống,中学 2 及以下,中学 2 及以下
string-array-->>highest_academic_qualification_array-->>7,Others,آحرون,Lain lain,Другие,,Khác,别人,别人
string-array-->>highest_early_childhood_education_arry-->>0,Master Degree,درجة الماجستير,Ijazah Sarjana,Магистр,,Bằng thạc sĩ,硕士学位,硕士学位
string-array-->>highest_early_childhood_education_arry-->>1,Bachelor Degree,درجة البكلاريوس,Ijazah Sarjana Muda,Бакалавр,,Bằng cử nhân,本科,本科
string-array-->>highest_early_childhood_education_arry-->>2,Diploma,شهادة دبلوم,Diploma,Диплом,,Bằng cấp,文凭,文凭
string-array-->>highest_early_childhood_education_arry-->>3,NITEC,NITEC,NITEC,NITEC,,Chứng chỉ Giáo dục Kỹ thuật của Viện quốc gia (NITEC),NITEC,NITEC
string-array-->>highest_early_childhood_education_arry-->>4,ACECCE,ACECCE,ACECCE,ACECCE,,Chứng chỉ Nâng cao về Chăm sóc & Giáo dục Mầm non (ACECCE),ACECCE,ACECCE
string-array-->>highest_early_childhood_education_arry-->>5,CPT,CPT,CPT,CPT,,Bằng Huấn luyện viên Cá nhân (CPT),Cpt,Cpt
string-array-->>highest_early_childhood_education_arry-->>6,CIT,CIT,CIT,CIT,,Bằng Giáo viên Hướng dẫn (CIT),Cit,Cit
string-array-->>highest_early_childhood_education_arry-->>7,ACEY,ACEY,ACEY,ACEY,,Chứng chỉ Chuyên môn của Giáo viên Mầm non từ 2 tháng đến 3 tuổi (ACEY),ACEY,ACEY
string-array-->>highest_early_childhood_education_arry-->>8,HCIC,HCIC,HCIC,HCIC,,Chứng chỉ Nâng cao hơn về Chăm sóc Trẻ sơ sinh (HCIC),HCIC,HCIC
string-array-->>highest_early_childhood_education_arry-->>9,Not Applicable,لا ينطبق,Tidak berkaitan,Не применимо,,Không áp dụng,不适用,不适用
string-array-->>highest_early_childhood_education_arry-->>10,Others,آحرون,Lain lain,Другие,,Khác,别人,别人
string-array-->>currently_pursuing_arry-->>0,Bachelor Degree,درجة البكلاريوس,Ijazah Sarjana Muda,Бакалавр,,Bằng cử nhân,本科,本科
string-array-->>currently_pursuing_arry-->>1,Diploma,شهادة دبلوم,Diploma,Диплом,,Bằng cấp,文凭,文凭
string-array-->>currently_pursuing_arry-->>2,NITEC,NITEC,NITEC,NITEC,,Chứng chỉ Giáo dục Kỹ thuật của Viện quốc gia (NITEC),NITEC,NITEC
string-array-->>currently_pursuing_arry-->>3,ACECCE,ACECCE,ACECCE,ACECCE,,Chứng chỉ Nâng cao về Chăm sóc & Giáo dục Mầm non (ACECCE),ACECCE,ACECCE
string-array-->>currently_pursuing_arry-->>4,ACEY,ACEY,ACEY,ACEY,,Chứng chỉ Chuyên môn của Giáo viên Mầm non từ 2 tháng đến 3 tuổi (ACEY),ACEY,ACEY
string-array-->>currently_pursuing_arry-->>5,HCIC,HCIC,HCIC,HCIC,,Chứng chỉ Nâng cao hơn về Chăm sóc Trẻ sơ sinh (HCIC),HCIC,HCIC
string-array-->>currently_pursuing_arry-->>6,Not Applicable,لا ينطبق,Tidak berkaitan,Не применимо,,Không áp dụng,不适用,不适用
string-array-->>currently_pursuing_arry-->>7,Others,آحرون,lain lain,Другие,,Khác,别人,别人
string-array-->>array_priority_validity-->>0,1 day,يوم 1,1 Hari,1 день,1 day,1 ngày,1 day,1 day
string-array-->>array_priority_validity-->>1,1 week,أسبوع 1,1 Minggu,1 неделя,1 week,1 tuần,1 week,1 week
string-array-->>array_priority_validity-->>2,1 month,شهر واحد,1 Bulan,1 месяц,1 month,1 tháng,1 month,1 month
string-array-->>array_priority_validity-->>3,Always,دائما,Sentiasa,Всегда,Always,Luôn luôn,Always,Always
string-array-->>province_state_names-->>0,Krabi,كرابي,,Krabi,กระบี,,,
string-array-->>province_state_names-->>1,Bangkok,بانكوك,,Bangkok,กรุงเทพมหานคร,,,
string-array-->>province_state_names-->>2,Kanchanaburi,كانشانابوري,,Kanchanaburi,กาญจนบรุี,,,
string-array-->>province_state_names-->>3,Kalasin,كلاسين,,Kalasin,กาฬสินธุ์,,,
string-array-->>province_state_names-->>4,Kamphaeng phet,كامبينغ فيت,,Kamphaeng phet,กําแพงเพชร,,,
string-array-->>province_state_names-->>5,Khon kean,خون كاين,,Khon kean,ขอนแก่น,,,
string-array-->>province_state_names-->>6,Chanthaburi,شانثابوري,,Chanthaburi,จันทบรุี,,,
string-array-->>province_state_names-->>7,Chachoengsao,تشاتشونجساو,,Chachoengsao,ฉะเชงิเทรา,,,
string-array-->>province_state_names-->>8,Chon buri,تشون بوري,,Chon buri,ชลบรุี,,,
string-array-->>province_state_names-->>9,Chai nat,تشاي نات,,Chai nat,ชยันาท,,,
string-array-->>province_state_names-->>10,Chai yaphum,تشاي يافوم,,Chai yaphum,ชยัภูมิ,,,
string-array-->>province_state_names-->>11,Chum phon,تشام فون,,Chum phon,ชมุพร,,,
string-array-->>province_state_names-->>12,Chiang rai,شيانج راي,,Chiang rai,เชยีงราย,,,
string-array-->>province_state_names-->>13,Chiang mai,شيانغ ماي,,Chiang mai,เชยีงใหม่,,,
string-array-->>province_state_names-->>14,Trang,ترانج,,Trang,ตรัง,,,
string-array-->>province_state_names-->>15,Trat,ترات,,Trat,ตราด,,,
string-array-->>province_state_names-->>16,Tak,تاك,,Tak,ตาก,,,
string-array-->>province_state_names-->>17,Nakhon nayok,ناخون نايوك,,Nakhon nayok,นครนายก,,,
string-array-->>province_state_names-->>18,Nakhon pathom,ناخون باتوم,,Nakhon pathom,นครปฐม,,,
string-array-->>province_state_names-->>19,Nakhon phanom,ناخون فانوم,,Nakhon phanom,นครพนม,,,
